CookerStat, GenerateAssetRegistry=0.020925, Initialize=0.129085, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_0, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/Levels/CityLv.umap, AutoPackageBackupDelegate=1.213472, FlushAsyncLoading=0.006709, FlushStreamingFunc=4.427545, BlockTillAllRequestsFinished=0.009868, ResetLoadersForSaveUnMarkAllObjects=2.363779, TagPackageExports=0.211589, BeginCacheForCookedPlatformData=0.002369, SerializeImports=1.880601, GatherLocalizableTextData=2.356671, MarkNames=0.027634, SerializeSummary=0.350539, SerializeNames=0.113297, SerializeGatherableTextData=0.001576, BuildExportMap=0.272382, SortExportsNonSeekfree=0.383303, SortExportsSeekfreeConstructor=0.623710, SortExportsSeekfreeInner=6.616842, SortExportsSeekfree=0.004344, BuildDependencyMap=0.350934, SerializeImportMap=0.014208, SerializeExportMap=0.011053, SerializeDependencyMap=0.002764, SerializeStringAssetReferenceMap=0.001576, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.341859, SerializeExports=0.685290, SerializeBulkData=0.014607, MoveFile=0.735424, UnaccountedTime=1.507957, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_1, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/Mi_VerticesLight_Ground.uasset, AutoPackageBackupDelegate=0.113294, FlushAsyncLoading=0.003554, FlushStreamingFunc=0.033554, BlockTillAllRequestsFinished=0.003159, ResetLoadersForSaveUnMarkAllObjects=0.122372, TagPackageExports=0.013817, BeginCacheForCookedPlatformData=0.001185, SerializeImports=0.346195, GatherLocalizableTextData=0.056449, MarkNames=0.005528, SerializeSummary=0.007499, SerializeNames=0.022896, SerializeGatherableTextData=0.000790, BuildExportMap=0.015792, SortExportsNonSeekfree=0.005130, SortExportsSeekfreeConstructor=0.052109, SortExportsSeekfreeInner=0.248693, SortExportsSeekfree=0.001974, BuildDependencyMap=0.005528, SerializeImportMap=0.005528, SerializeExportMap=0.003550, SerializeDependencyMap=0.001185, SerializeStringAssetReferenceMap=0.001580, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.596528, SerializeExports=0.084870, SerializeBulkData=0.003554, MoveFile=0.762664, UnaccountedTime=0.801742, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_2, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/Materials/Mi_VerticesLight_Ground.uasset, AutoPackageBackupDelegate=24.391768, FlushAsyncLoading=0.012238, FlushStreamingFunc=0.041448, BlockTillAllRequestsFinished=0.006709, ResetLoadersForSaveUnMarkAllObjects=0.157904, TagPackageExports=0.006709, BeginCacheForCookedPlatformData=0.001185, SerializeImports=0.518706, GatherLocalizableTextData=0.015792, MarkNames=0.006314, SerializeSummary=0.012238, SerializeNames=0.014607, SerializeGatherableTextData=0.001576, BuildExportMap=0.012632, SortExportsNonSeekfree=0.003554, SortExportsSeekfreeConstructor=0.007104, SortExportsSeekfreeInner=0.106979, SortExportsSeekfree=0.002369, BuildDependencyMap=0.005130, SerializeImportMap=0.049345, SerializeExportMap=0.016578, SerializeDependencyMap=0.001580, SerializeStringAssetReferenceMap=0.001185, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.024870, SerializeExports=0.004735, SerializeBulkData=0.003159, MoveFile=0.895299, UnaccountedTime=0.896089, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_3, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/Mi_VerticesLight_Buildings.uasset, AutoPackageBackupDelegate=0.119213, FlushAsyncLoading=0.003554, FlushStreamingFunc=0.043817, BlockTillAllRequestsFinished=0.003554, ResetLoadersForSaveUnMarkAllObjects=0.112109, TagPackageExports=0.013418, BeginCacheForCookedPlatformData=0.001185, SerializeImports=0.378173, GatherLocalizableTextData=0.058424, MarkNames=0.005133, SerializeSummary=0.008289, SerializeNames=0.022501, SerializeGatherableTextData=0.001185, BuildExportMap=0.014607, SortExportsNonSeekfree=0.005525, SortExportsSeekfreeConstructor=0.005923, SortExportsSeekfreeInner=0.258561, SortExportsSeekfree=0.001974, BuildDependencyMap=0.005923, SerializeImportMap=0.005133, SerializeExportMap=0.003550, SerializeDependencyMap=0.001185, SerializeStringAssetReferenceMap=0.001185, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.735573, SerializeExports=0.073422, SerializeBulkData=0.003159, MoveFile=0.791874, UnaccountedTime=0.852667, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_4, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/Materials/Mi_VerticesLight_buildings.uasset, AutoPackageBackupDelegate=1.057543, FlushAsyncLoading=0.004344, FlushStreamingFunc=0.071451, BlockTillAllRequestsFinished=0.005919, ResetLoadersForSaveUnMarkAllObjects=0.125531, TagPackageExports=0.005130, BeginCacheForCookedPlatformData=0.000790, SerializeImports=0.405017, GatherLocalizableTextData=0.013817, MarkNames=0.006314, SerializeSummary=0.009473, SerializeNames=0.015002, SerializeGatherableTextData=0.001974, BuildExportMap=0.016972, SortExportsNonSeekfree=0.005528, SortExportsSeekfreeConstructor=0.011053, SortExportsSeekfreeInner=0.155136, SortExportsSeekfree=0.003159, BuildDependencyMap=0.007108, SerializeImportMap=0.058819, SerializeExportMap=0.021316, SerializeDependencyMap=0.001974, SerializeStringAssetReferenceMap=0.002366, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.032768, SerializeExports=0.007104, SerializeBulkData=0.003554, MoveFile=1.014512, UnaccountedTime=0.942670, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_5, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/M_VerticesLight.uasset, AutoPackageBackupDelegate=0.142507, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.065133, BlockTillAllRequestsFinished=0.005525, ResetLoadersForSaveUnMarkAllObjects=0.146456, TagPackageExports=0.114873, BeginCacheForCookedPlatformData=0.001580, SerializeImports=0.574760, GatherLocalizableTextData=1.183469, MarkNames=0.009868, SerializeSummary=0.009473, SerializeNames=0.048555, SerializeGatherableTextData=0.078160, BuildExportMap=0.048161, SortExportsNonSeekfree=0.053294, SortExportsSeekfreeConstructor=0.007104, SortExportsSeekfreeInner=0.506863, SortExportsSeekfree=0.003155, BuildDependencyMap=0.017766, SerializeImportMap=0.005919, SerializeExportMap=0.006713, SerializeDependencyMap=0.003554, SerializeStringAssetReferenceMap=0.002369, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.562276, SerializeExports=0.513572, SerializeBulkData=0.003949, MoveFile=0.782791, UnaccountedTime=0.858195, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_6, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/Mi_CityWireBuilding.uasset, AutoPackageBackupDelegate=0.137769, FlushAsyncLoading=0.004739, FlushStreamingFunc=0.022896, BlockTillAllRequestsFinished=0.002764, ResetLoadersForSaveUnMarkAllObjects=0.121977, TagPackageExports=0.016972, BeginCacheForCookedPlatformData=0.001185, SerializeImports=0.421200, GatherLocalizableTextData=0.060003, MarkNames=0.005133, SerializeSummary=0.007894, SerializeNames=0.023685, SerializeGatherableTextData=0.000790, BuildExportMap=0.014607, SortExportsNonSeekfree=0.005525, SortExportsSeekfreeConstructor=0.007499, SortExportsSeekfreeInner=0.268828, SortExportsSeekfree=0.002764, BuildDependencyMap=0.005130, SerializeImportMap=0.004344, SerializeExportMap=0.003949, SerializeDependencyMap=0.001185, SerializeStringAssetReferenceMap=0.001580, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.102112, SerializeExports=0.075005, SerializeBulkData=0.003550, MoveFile=0.716869, UnaccountedTime=0.872403, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_7, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/Materials/Mi_CityWireBuilding.uasset, AutoPackageBackupDelegate=2.216537, FlushAsyncLoading=0.005919, FlushStreamingFunc=0.062373, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=0.139348, TagPackageExports=0.006314, BeginCacheForCookedPlatformData=0.001185, SerializeImports=0.473704, GatherLocalizableTextData=0.011843, MarkNames=0.004735, SerializeSummary=0.007898, SerializeNames=0.012238, SerializeGatherableTextData=0.001181, BuildExportMap=0.013027, SortExportsNonSeekfree=0.004344, SortExportsSeekfreeConstructor=0.007499, SortExportsSeekfreeInner=0.116058, SortExportsSeekfree=0.001974, BuildDependencyMap=0.005525, SerializeImportMap=0.050921, SerializeExportMap=0.022896, SerializeDependencyMap=0.001185, SerializeStringAssetReferenceMap=0.001185, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.026055, SerializeExports=0.005130, SerializeBulkData=0.002369, MoveFile=0.900432, UnaccountedTime=0.822268, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_8, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/Mi_CityWire_Ground.uasset, AutoPackageBackupDelegate=0.108555, FlushAsyncLoading=0.004344, FlushStreamingFunc=0.053685, BlockTillAllRequestsFinished=0.004344, ResetLoadersForSaveUnMarkAllObjects=0.114083, TagPackageExports=0.015792, BeginCacheForCookedPlatformData=0.000790, SerializeImports=0.382118, GatherLocalizableTextData=0.064347, MarkNames=0.005525, SerializeSummary=0.008292, SerializeNames=0.022501, SerializeGatherableTextData=0.001185, BuildExportMap=0.014603, SortExportsNonSeekfree=0.005133, SortExportsSeekfreeConstructor=0.006709, SortExportsSeekfreeInner=0.258565, SortExportsSeekfree=0.001974, BuildDependencyMap=0.005525, SerializeImportMap=0.005133, SerializeExportMap=0.003554, SerializeDependencyMap=0.001181, SerializeStringAssetReferenceMap=0.001185, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.597925, SerializeExports=0.082899, SerializeBulkData=0.003550, MoveFile=0.765029, UnaccountedTime=0.867270, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_9, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/Materials/Mi_CityWire_Ground.uasset, AutoPackageBackupDelegate=1.078464, FlushAsyncLoading=0.004735, FlushStreamingFunc=0.083689, BlockTillAllRequestsFinished=0.003949, ResetLoadersForSaveUnMarkAllObjects=0.110924, TagPackageExports=0.005130, BeginCacheForCookedPlatformData=0.001185, SerializeImports=10.010139, GatherLocalizableTextData=0.015002, MarkNames=0.007499, SerializeSummary=0.011448, SerializeNames=0.018947, SerializeGatherableTextData=0.001974, BuildExportMap=0.020131, SortExportsNonSeekfree=0.004739, SortExportsSeekfreeConstructor=0.009079, SortExportsSeekfreeInner=0.125926, SortExportsSeekfree=0.002369, BuildDependencyMap=0.006314, SerializeImportMap=0.066712, SerializeExportMap=0.020530, SerializeDependencyMap=0.001185, SerializeStringAssetReferenceMap=0.001580, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.030395, SerializeExports=0.005525, SerializeBulkData=0.003554, MoveFile=1.115173, UnaccountedTime=1.008987, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
SavePackageTransactionIdC601C8DB473AC0C53BE1BDBE1B81FDCC_10, Filename=D:/_FAC/ENJMIN/Semestre_2/Panopticon/PanopticonGit/Panopticon/UnrealProject/Content/WireTests/M_City/M_CityWire.uasset, AutoPackageBackupDelegate=0.139743, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.061978, BlockTillAllRequestsFinished=0.005525, ResetLoadersForSaveUnMarkAllObjects=0.138558, TagPackageExports=0.142902, BeginCacheForCookedPlatformData=0.001580, SerializeImports=0.580680, GatherLocalizableTextData=1.514666, MarkNames=0.011053, SerializeSummary=0.008292, SerializeNames=0.052895, SerializeGatherableTextData=0.103030, BuildExportMap=0.053685, SortExportsNonSeekfree=0.083294, SortExportsSeekfreeConstructor=0.006318, SortExportsSeekfreeInner=0.535678, SortExportsSeekfree=0.002369, BuildDependencyMap=0.015393, SerializeImportMap=0.005528, SerializeExportMap=0.007104, SerializeDependencyMap=0.001580, SerializeStringAssetReferenceMap=0.001185, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.916095, SerializeExports=0.703450, SerializeBulkData=0.003155, MoveFile=0.774112, UnaccountedTime=0.837665, RunGuid=RunID604A3F764248B82F45BEC29CC5A8DCDA
